check,logic,IN,TD,,T,#N/A,BROKER,Ticker,EXPECTED_REPORT_DT,NAME,CLASSIFICATION_DESCRIPTION,BICS_LEVEL_3_INDUSTRY_NAME,VOLUME_AVG_6M,LAST_PRICE,HIGH,거래금액,VOLUME,volume-multiple,RT_PX_CHG_PCT_1D,CHG_PCT_5D,H,VOLATILITY_30D,PX_YEST_HIGH,PX_YEST_LOW,Qty,평가금액,CRNCY,Side,FX,TT,LOCAL1,LOCAL2,cost,RETURN,BROKER,Instruction_1,Account,Instruction,Account_1,,
,,,,,,,,NKY Index,,NIKKEI 225,,,"865,486,048 ",32877.35 ,,,#N/A N/A,,-0.19 ,2.06 ,-0.38 ,1.0 ,"32,939.18 ","32,714.94 ",,0 ,JPY,,9.0 ,#N/A,#N/A,#N/A,,,0,TWAP,,TWAP,,,
,,,#N/A,,7588.00 ,0.8%,IN,7011 JP Equity,2023-11-01,MITSUBISHI HEAVY INDUSTRIES,Diversified Industrials,Diversified Industrials,"2,847,350 ",7527.00 ,8608,"2,198 ","1,983,500 ",0.7 ,0.19 ,5.75 ,-0.73 ,2.1 ,"8,550.00 ","8,358.00 ","3,000 ","203,953,850 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"7,690.00 ",-2.1%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,3410 ,0.7%,IN,7832 JP Equity,2023-11-10,BANDAI NAMCO HOLDINGS INC,Video Games,Entertainment Content,"1,948,334 ",3385.00 ,3434,595 ,"661,400 ",0.3 ,-0.06 ,0.59 ,-1.51 ,2.0 ,"3,399.00 ","3,358.00 ","7,000 ","214,015,610 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"3,375.00 ",0.3%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,1810,2017,1810 ,-10.3%,IN,5406 JP Equity,2023-11-09,KOBE STEEL LTD,Steel Producers,Steel,"9,482,267 ",2017.00 ,0 ,"1,727 ","23,220,800 ",2.4 ,0.00 ,10.75 ,-0.40 ,2.9 ,"2,017.00 ","1,923.50 ","7,000 ","127,524,220 ",JPY,SELL,9.0 ,1810,2017,1810,"1,766.50 ",14.2%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,2434 ,0.1%,IN,1812 JP Equity,2023-11-10,KAJIMA CORP,Building Construction,Engineering & Construction,"1,967,524 ",2432.00 ,#N/A,436 ,"795,600 ",0.4 ,0.02 ,1.87 ,-1.41 ,2.0 ,"2,455.00 ","2,422.00 ","9,000 ","197,694,605 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"2,369.00 ",2.7%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,4022 ,-5.7%,IN,6301 JP Equity,2023-10-31,KOMATSU LTD,Construction Machinery,Machinery,"3,398,879 ",4264.00 ,#N/A,"1,309 ","1,072,600 ",0.3 ,-0.05 ,4.18 ,-0.63 ,1.3 ,"4,266.00 ","4,188.00 ","6,000 ","231,077,246 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"4,101.00 ",4.0%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,8717 ,0.2%,IN,3088 JP Equity,2023-11-14,MATSUKIYOCOCOKARA & CO,Pharmacies & Drug Stores,Retail - Consumer Staples,"571,402 ",8703.00 ,#N/A,445 ,"134,500 ",0.2 ,-0.59 ,0.83 ,-0.69 ,2.0 ,"8,669.00 ","8,561.00 ","2,500 ","196,515,916 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"8,996.00 ",-3.3%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,6944 ,0.8%,IN,7550 JP Equity,2023-11-10,ZENSHO HOLDINGS CO LTD,Limited Service Restaurants,Leisure Facilities & Services,"1,009,094 ",6891.00 ,#N/A,633 ,"1,007,200 ",1.0 ,-1.67 ,-1.96 ,-1.67 ,4.3 ,"7,215.00 ","6,881.00 ","3,000 ","186,720,603 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"7,292.00 ",-5.5%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,7824,7513,7397 ,-1.4%,IN,6701 JP Equity,2023-10-27,NEC CORP,IT Services,Technology Services,"1,135,332 ",7502.00 ,-1 ,805 ,"610,800 ",0.5 ,0.03 ,4.00 ,-0.91 ,1.5 ,"7,850.00 ","7,778.00 ","3,000 ","203,276,443 ",JPY,SELL,9.0 ,7824,7824,7826,"7,397.00 ",1.4%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,21020 ,1.7%,IN,8035 JP Equity,2023-11-10,TOKYO ELECTRON LTD,Front End Capital Equipment,Semiconductors,"3,616,920 ",20670.00 ,#N/A,"7,061 ","1,114,000 ",0.3 ,0.61 ,2.46 ,-0.35 ,2.0 ,"21,565.00 ","21,330.00 ","1,000 ","186,693,507 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"21,185.00 ",-2.4%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
